"Manage Brands","Manage Brands"
"Add New Brand","Add New Brand"
"Save Brand","Save Brand"
"Save and Continue Edit","Save and Continue Edit"
"Delete Brand","Delete Brand"
"Edit Brand '%1'","Edit Brand '%1'"
"New Brand","New Brand"
"Page Layout","Page Layout"
Layout,Layout
"Layout Update XML","Layout Update XML"
Design,Design
"Brand Information","Brand Information"
"Brand Name","Brand Name"
"URL Key","URL Key"
"Empty to auto create url key","Empty to auto create url key"
"Brand Group","Brand Group"
Image,Image
Thumbnail,Thumbnail
Description,Description
"Store View","Store View"
Position,Position
Status,Status
"Page Status","Page Status"
"Meta Data","Meta Data"
"Page Title","Page Title"
Keywords,Keywords
"Meta Keywords","Meta Keywords"
"Meta Description","Meta Description"
ID,ID
Name,Name
Type,Type
"Attribute Set","Attribute Set"
Visibility,Visibility
SKU,SKU
Price,Price
Products,Products
Preview,Preview
"Manage Brand Groups","Manage Brand Groups"
"Add New Brand Group","Add New Brand Group"
"Save Group","Save Group"
"Delete Group","Delete Group"
"Edit Group '%1'","Edit Group '%1'"
"New Group","New Group"
"Group Information","Group Information"
"Group Name","Group Name"
"Show In Sidebar","Show In Sidebar"
"WYSIWYG Editor","WYSIWYG Editor"
Title,Title
Home,Home
"Go to Home Page","Go to Home Page"
"The brand has been deleted.","The brand has been deleted."
"We can't find a brand to delete.","We can't find a brand to delete."
Brand,Brand
"This brand no longer exits. ","This brand no longer exits. "
"Edit Brand","Edit Brand"
Brands,Brands
"Please correct the data sent.","Please correct the data sent."
"Something went wrong while saving the page.","Something went wrong while saving the page."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"A total of %1 record(s) have been disabled.","A total of %1 record(s) have been disabled."
"A total of %1 record(s) have been enabled.","A total of %1 record(s) have been enabled."
"You saved this brand.","You saved this brand."
"Something went wrong while saving the brand.","Something went wrong while saving the brand."
"Brand Groups","Brand Groups"
"URL key already exists.","URL key already exists."
"You saved this group.","You saved this group."
Enabled,Enabled
Disabled,Disabled
List,List
Grid,Grid
No,No
Yes,Yes
"URL key for specified store already exists.","URL key for specified store already exists."
"'URL key already exists.' .","'URL key already exists.' ."
"Owl Carousel","Owl Carousel"
"Bootstrap Carousel","Bootstrap Carousel"
"All Store Views","All Store Views"
Edit,Edit
"We can't find brands matching the selection.","We can't find brands matching the selection."
"We can't find brand matching the selection.","We can't find brand matching the selection."
Items,Items
of,of
"%1 Item","%1 Item"
"%1 Items","%1 Items"
Previous,Previous
Next,Next
"Insert Widget...","Insert Widget..."
"Ves All - <a href=""http://venustheme.com"" target=""_BLANK"" title=""Venustheme.com - Premium Magento Template Club"">Venustheme.com</a>","Ves All - <a href=""http://venustheme.com"" target=""_BLANK"" title=""Venustheme.com - Premium Magento Template Club"">Venustheme.com</a>"
"General Settings","General Settings"
"Brand List Url","Brand List Url"
"Brand Url Prefix","Brand Url Prefix"
"Brand Url Suffix","Brand Url Suffix"
"Brand List Page","Brand List Page"
"Show Brand Name","Show Brand Name"
"Number Brand Per Page","Number Brand Per Page"
"Empty to show all item","Empty to show all item"
"SEO - Search Engine Optimization","SEO - Search Engine Optimization"
"Grid Layout","Grid Layout"
"Number Column on Large Desktop","Number Column on Large Desktop"
"Large devices Desktops (≥1200px)","Large devices Desktops (≥1200px)"
"Number Column on Desktop","Number Column on Desktop"
"Medium devices Desktops (≥992px)","Medium devices Desktops (≥992px)"
"Number Column on Tablets","Number Column on Tablets"
"Small devices Tablets (≥768px)","Small devices Tablets (≥768px)"
"Number Column on Phones","Number Column on Phones"
"Extra small devices Phones (<768px)","Extra small devices Phones (<768px)"
"Group Page","Group Page"
"Brand Block","Brand Block"
Enable,Enable
"Pretext HTML","Pretext HTML"
"Show after title. Empty to hide","Show after title. Empty to hide"
"Number of Brand to Display","Number of Brand to Display"
"Addtion Class","Addtion Class"
"Carousel Layout","Carousel Layout"
"Number Item per Column","Number Item per Column"
"Default is 1","Default is 1"
"Number Columns On Page (Phones)","Number Columns On Page (Phones)"
"Show number items when screen size bellow 480px","Show number items when screen size bellow 480px"
"Number Columns On Page (Phones to Small tablets)","Number Columns On Page (Phones to Small tablets)"
"Show number items when screen size between 641px and 480px","Show number items when screen size between 641px and 480px"
"Number Columns On Page (Phones to tablets)","Number Columns On Page (Phones to tablets)"
"Show number items when screen size between 768px and 641px","Show number items when screen size between 768px and 641px"
"Number Columns On Page (Portrait tablets)","Number Columns On Page (Portrait tablets)"
"Show number items when screen size between 979px and 769px","Show number items when screen size between 979px and 769px"
"Number Columns On Page (Default)","Number Columns On Page (Default)"
"Show number items when screen size between 1199px and 980px","Show number items when screen size between 1199px and 980px"
"Number Columns On Page (Large display)","Number Columns On Page (Large display)"
"Show number items when screen size 1200px and up","Show number items when screen size 1200px and up"
Autoplay,Autoplay
"Autoplay Timeout","Autoplay Timeout"
"Autoplay interval timeout.","Autoplay interval timeout."
"Pause on Hover","Pause on Hover"
"Item Per Page","Item Per Page"
Interval,Interval
"The amount of time to delay between automatically cycling an item. If false, carousel will not automatically cycle.","The amount of time to delay between automatically cycling an item. If false, carousel will not automatically cycle."
Loop,Loop
RTL,RTL
"Show dots navigations","Show dots navigations"
"Show next/prev buttons.","Show next/prev buttons."
"Nav Prev","Nav Prev"
"Nav Next","Nav Next"
"Ves Brand List","Ves Brand List"
"Get brand list","Get brand list"
"Select Static Block","Select Static Block"
"Nav Prev Text","Nav Prev Text"
"Nav Next Text","Nav Next Text"
Template,Template
Delete,Delete
"Delete items","Delete items"
"Are you sure you wan't to delete selected items?","Are you sure you wan't to delete selected items?"
Disable,Disable
